id,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,date_account_created_year,date_account_created_month,date_account_created_day,timestamp_first_active_year,timestamp_first_active_month,timestamp_first_active_day,date_first_booking_year,date_first_booking_month,date_first_booking_day,sum_secs_elapsed,end_of_september,around_christmas,pre_summer,signin_on_different_day
jujt73mvau,0,-999.0,0,25,3,2,4,7,3,8,0,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,,0.0,0.0,1.0,0.0
njsmqa38qh,0,-999.0,0,0,6,5,8,3,2,3,43,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,2242816.0,0.0,0.0,1.0,0.0
1tifqt8jl8,0,54.0,0,0,6,6,8,0,2,3,17,10,2014,6,29,2014,6,29,2014.0,7.0,1.0,435079.0,0.0,0.0,1.0,0.0
4klrb5y8un,0,26.0,0,25,6,2,4,7,3,8,0,10,2014,6,26,2014,6,26,2014.0,7.0,14.0,507047.0,0.0,0.0,1.0,0.0
ckxtlj9by0,1,27.0,0,0,6,2,4,7,2,8,30,10,2014,6,26,2014,6,26,2014.0,7.0,1.0,2893435.0,0.0,0.0,1.0,0.0
ubr8ukiuhq,2,58.0,0,0,6,2,4,7,2,3,3,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,102199.0,0.0,0.0,1.0,0.0
bhcu9fsa5j,2,28.0,0,0,6,5,8,3,2,3,43,10,2014,6,29,2014,6,29,2014.0,11.0,9.0,5300609.0,0.0,0.0,1.0,0.0
qdjq7q0vm3,2,25.0,1,25,6,2,4,0,3,8,30,7,2014,6,26,2014,6,26,-999.0,-999.0,-999.0,6051896.0,0.0,0.0,1.0,0.0
vhgcxb559b,0,-999.0,0,25,6,2,4,7,3,8,30,7,2014,6,26,2014,6,26,-999.0,-999.0,-999.0,2571556.0,0.0,0.0,1.0,0.0
jna6fixj9t,2,27.0,1,25,6,2,4,0,3,8,30,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,193978.0,0.0,0.0,1.0,0.0
rpqv3bq6m3,0,34.0,0,0,6,2,4,7,2,6,22,10,2014,6,26,2014,6,26,2014.0,6.0,28.0,1352820.0,0.0,0.0,1.0,0.0
97qa4zr24i,0,-999.0,0,25,6,2,4,7,3,8,30,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,890918.0,0.0,0.0,1.0,0.0
fwh5kh8qnz,0,-999.0,0,0,6,2,4,7,2,7,30,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,153115.0,0.0,0.0,1.0,0.0
fdl3ewn0hg,1,33.0,0,0,16,2,4,7,2,6,22,10,2014,6,26,2014,6,26,2014.0,6.0,27.0,2532715.0,0.0,0.0,1.0,0.0
ty6g90h81q,1,105.0,0,0,6,6,8,3,2,6,22,7,2014,6,26,2014,6,26,-999.0,-999.0,-999.0,544543.0,0.0,0.0,1.0,0.0
40af9klr73,2,23.0,0,0,6,7,8,7,2,6,8,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,542367.0,0.0,0.0,1.0,0.0
wxht9qqu37,0,-999.0,0,0,6,2,4,7,2,6,17,2,2014,6,26,2014,6,26,2014.0,6.0,27.0,2747847.0,0.0,0.0,1.0,0.0
wo94eqkgs6,0,-999.0,0,25,6,2,4,0,3,8,30,7,2014,6,28,2014,6,28,-999.0,-999.0,-999.0,305030.0,0.0,0.0,1.0,0.0
dolghe2ywz,0,-999.0,0,0,6,1,8,7,2,3,43,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,131813.0,0.0,0.0,1.0,0.0
addb97pief,1,28.0,0,0,6,5,8,7,2,3,8,4,2014,6,27,2014,6,27,2014.0,6.0,30.0,8270858.0,0.0,0.0,1.0,0.0
9mvpc3eb7u,0,-999.0,0,0,6,6,8,3,2,3,43,2,2014,6,30,2014,6,30,2014.0,7.0,1.0,9916008.0,0.0,0.0,1.0,0.0
5gv0vw7ud6,0,-999.0,0,0,6,2,4,7,2,6,8,7,2014,6,30,2014,6,30,-999.0,-999.0,-999.0,1742554.0,0.0,0.0,1.0,0.0
60oh1fjj20,1,40.0,1,0,6,2,4,7,1,8,30,7,2014,6,28,2014,6,28,-999.0,-999.0,-999.0,325404.0,0.0,0.0,1.0,0.0
3ltpteu4z0,0,-999.0,0,0,6,2,4,3,2,6,8,6,2014,6,26,2014,6,26,2014.0,6.0,26.0,1592273.0,0.0,0.0,1.0,0.0
fgig0oazex,2,25.0,1,25,6,2,4,7,3,8,0,7,2014,6,27,2014,6,27,-999.0,-999.0,-999.0,122601.0,0.0,0.0,1.0,0.0
vgwdbkh6uz,1,30.0,0,0,6,5,8,3,2,6,22,7,2014,6,28,2014,6,28,-999.0,-999.0,-999.0,3726677.0,0.0,0.0,1.0,0.0
q7l29tqa5e,2,27.0,0,0,6,2,4,7,2,6,17,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,651.0,0.0,0.0,1.0,0.0
vt5twwzyb8,1,32.0,0,0,6,2,4,0,2,6,8,6,2014,6,27,2014,6,27,2014.0,6.0,27.0,8319725.0,0.0,0.0,1.0,0.0
55vr3kjj7f,2,19.0,0,0,6,2,4,7,2,3,43,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,1827951.0,0.0,0.0,1.0,0.0
4kwj9f30v4,1,31.0,1,0,17,5,8,3,2,3,43,7,2014,6,26,2014,6,26,-999.0,-999.0,-999.0,1760477.0,0.0,0.0,1.0,0.0
s6hfq1p2lw,0,47.0,0,0,6,2,4,5,2,6,22,10,2014,6,26,2014,6,26,2014.0,7.0,3.0,2441837.0,0.0,0.0,1.0,0.0
3gcuegik0v,2,19.0,0,0,6,2,4,7,2,6,8,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,470097.0,0.0,0.0,1.0,0.0
bmgwl4oc6r,0,-999.0,0,25,6,2,4,0,3,8,30,7,2014,6,30,2014,6,30,-999.0,-999.0,-999.0,1729450.0,0.0,0.0,1.0,0.0
vcmp3bjx1h,0,-999.0,0,25,6,2,4,7,3,8,0,7,2014,6,27,2014,6,27,-999.0,-999.0,-999.0,299638.0,0.0,0.0,1.0,0.0
vppxp0zfn4,1,36.0,0,0,6,5,8,7,2,3,43,10,2014,6,25,2014,6,25,2014.0,6.0,26.0,1362.0,0.0,0.0,1.0,0.0
qphfyee1n2,0,37.0,0,0,6,2,4,7,2,6,8,7,2014,6,24,2014,6,24,-999.0,-999.0,-999.0,3489200.0,0.0,0.0,1.0,0.0
nxidvmu6p2,0,31.0,0,0,6,2,4,7,2,6,8,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,3649933.0,0.0,0.0,1.0,0.0
k59zn477di,2,26.0,1,0,7,2,4,0,2,6,8,7,2014,6,26,2014,6,26,-999.0,-999.0,-999.0,1269195.0,0.0,0.0,1.0,0.0
hl3fuvyfcy,0,-999.0,0,25,6,2,4,7,3,7,0,7,2014,6,30,2014,6,30,-999.0,-999.0,-999.0,2818939.0,0.0,0.0,1.0,0.0
b4r6zcbr76,0,-999.0,0,0,6,2,4,7,2,8,30,7,2014,6,26,2014,6,26,-999.0,-999.0,-999.0,338998.0,0.0,0.0,1.0,0.0
pvyo0lgqa7,1,47.0,0,0,6,6,8,3,2,3,8,10,2014,6,29,2014,6,29,2014.0,12.0,7.0,7892467.0,0.0,0.0,1.0,0.0
5veecor8bd,0,31.0,0,0,6,5,8,3,2,3,8,10,2014,6,25,2014,6,25,2014.0,6.0,25.0,1100042.0,0.0,0.0,1.0,0.0
jf98zqphim,1,21.0,0,0,6,2,4,0,2,6,22,8,2014,6,27,2014,6,27,2014.0,6.0,30.0,1360762.0,0.0,0.0,1.0,0.0
26sa5u5n6o,0,-999.0,0,0,6,2,4,7,2,8,30,7,2014,6,27,2014,6,27,-999.0,-999.0,-999.0,654013.0,0.0,0.0,1.0,0.0
b3ax2l14a3,2,24.0,1,0,6,5,8,7,2,3,43,7,2014,6,28,2014,6,28,-999.0,-999.0,-999.0,901232.0,0.0,0.0,1.0,0.0
hyd94og5l4,2,28.0,0,0,6,2,4,7,1,0,9,10,2014,6,28,2014,6,28,2014.0,6.0,29.0,2087273.0,0.0,0.0,1.0,0.0
paq5jiug84,0,45.0,0,0,6,2,4,3,2,8,30,7,2014,6,27,2014,6,27,-999.0,-999.0,-999.0,83267.0,0.0,0.0,1.0,0.0
mnirz4xye3,0,26.0,0,0,6,2,4,0,2,6,8,7,2014,6,28,2014,6,28,-999.0,-999.0,-999.0,1064220.0,0.0,0.0,1.0,0.0
1b1upqyrul,0,-999.0,0,25,6,2,4,7,3,8,0,7,2014,6,26,2014,6,26,-999.0,-999.0,-999.0,3058158.0,0.0,0.0,1.0,0.0
0s5hqrc9ci,0,-999.0,0,0,6,2,4,7,2,3,8,7,2014,6,24,2014,6,24,-999.0,-999.0,-999.0,96131.0,0.0,0.0,1.0,0.0
p4e5doaug5,0,23.0,0,0,6,5,8,3,2,2,17,10,2014,6,28,2014,6,28,2014.0,7.0,1.0,3064328.0,0.0,0.0,1.0,0.0
iimgi71lqw,2,31.0,0,0,6,5,8,3,2,3,43,10,2014,6,26,2014,6,26,2014.0,6.0,26.0,2130624.0,0.0,0.0,1.0,0.0
b6siwjykpx,0,-999.0,0,0,6,5,8,3,2,6,8,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,1925258.0,0.0,0.0,1.0,0.0
1adhxgzl9a,0,-999.0,0,25,6,2,4,7,3,8,0,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,1246409.0,0.0,0.0,1.0,0.0
mz1hsl7o6q,0,-999.0,0,0,6,5,8,3,2,3,43,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,245623.0,0.0,0.0,1.0,0.0
iemizz8pgn,1,35.0,0,0,6,5,8,3,2,3,43,7,2014,6,27,2014,6,27,-999.0,-999.0,-999.0,720938.0,0.0,0.0,1.0,0.0
vpnfti8u1p,1,37.0,1,0,6,2,4,7,2,6,8,7,2014,6,27,2014,6,27,-999.0,-999.0,-999.0,423919.0,0.0,0.0,1.0,0.0
4del3d8ild,2,30.0,1,0,6,2,4,4,2,6,8,11,2014,6,28,2014,6,28,2014.0,12.0,13.0,559400.0,0.0,0.0,1.0,0.0
jbpw99qkuw,2,19.0,0,0,6,5,8,3,2,6,22,7,2014,6,27,2014,6,27,-999.0,-999.0,-999.0,3233305.0,0.0,0.0,1.0,0.0
moroc35w2i,2,54.0,0,0,6,6,8,3,2,6,22,1,2014,6,29,2014,6,29,2014.0,7.0,1.0,583002.0,0.0,0.0,1.0,0.0
o6ekt4j3f8,0,28.0,0,0,6,2,4,0,2,3,43,7,2014,6,27,2014,6,27,-999.0,-999.0,-999.0,4537414.0,0.0,0.0,1.0,0.0
38ex7sfejp,0,-999.0,0,25,6,2,4,7,3,8,0,7,2014,6,28,2014,6,28,-999.0,-999.0,-999.0,217970.0,0.0,0.0,1.0,0.0
c7tzh1lm3m,0,-999.0,0,25,6,2,4,0,3,8,30,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,5950.0,0.0,0.0,1.0,0.0
jfk9h3ygvz,1,38.0,0,0,6,2,4,7,2,6,8,10,2014,6,24,2014,6,24,2014.0,6.0,24.0,4470994.0,0.0,0.0,1.0,0.0
qcahm6wdve,2,37.0,1,25,6,2,4,7,3,8,0,7,2014,6,28,2014,6,28,-999.0,-999.0,-999.0,44747.0,0.0,0.0,1.0,0.0
76lygxcwkz,0,-999.0,0,0,6,2,4,7,2,3,43,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,,0.0,0.0,1.0,0.0
7wal0jeteb,0,-999.0,0,0,6,2,4,0,2,3,43,7,2014,6,28,2014,6,28,-999.0,-999.0,-999.0,2775216.0,0.0,0.0,1.0,0.0
4xqp5cd4cg,0,-999.0,0,25,6,2,4,7,3,8,0,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,107859.0,0.0,0.0,1.0,0.0
nmop4kn6zn,0,-999.0,0,0,6,2,4,0,1,0,9,7,2014,6,28,2014,6,28,-999.0,-999.0,-999.0,1214668.0,0.0,0.0,1.0,0.0
2fpl7bjldz,2,28.0,0,0,6,5,8,3,2,3,43,10,2014,6,28,2014,6,28,2014.0,6.0,28.0,6553921.0,0.0,0.0,1.0,0.0
nz1a0q4wzt,0,-999.0,0,0,6,2,4,7,2,6,8,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,430860.0,0.0,0.0,1.0,0.0
x9hvco0wlb,1,35.0,1,0,6,5,8,3,2,3,43,4,2014,6,28,2014,6,28,2014.0,11.0,1.0,1502598.0,0.0,0.0,1.0,0.0
73bya7igv0,0,-999.0,0,0,6,2,4,0,1,8,30,10,2014,6,28,2014,6,28,2014.0,7.0,5.0,2504500.0,0.0,0.0,1.0,0.0
e3qxzo8psq,1,51.0,0,0,6,5,8,3,2,7,30,10,2014,6,25,2014,6,25,2014.0,7.0,8.0,1402837.0,0.0,0.0,1.0,0.0
8x4spe8bqx,2,25.0,0,0,6,2,4,0,2,3,43,10,2014,6,29,2014,6,29,2014.0,6.0,29.0,1388538.0,0.0,0.0,1.0,0.0
f926ox43cz,0,-999.0,0,0,6,2,4,7,2,3,17,7,2014,6,27,2014,6,27,-999.0,-999.0,-999.0,1534824.0,0.0,0.0,1.0,0.0
e2n9b0sc7l,0,-999.0,0,0,6,2,4,3,2,3,43,7,2014,6,28,2014,6,28,-999.0,-999.0,-999.0,192725.0,0.0,0.0,1.0,0.0
fh9dx9a950,0,-999.0,0,0,6,2,4,7,2,3,43,7,2014,6,27,2014,6,27,-999.0,-999.0,-999.0,478538.0,0.0,0.0,1.0,0.0
pgb32e3jx3,0,-999.0,0,0,6,5,8,3,2,6,17,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,3845588.0,0.0,0.0,1.0,0.0
x83kb9lvc0,0,-999.0,0,0,6,2,4,0,2,3,43,7,2014,6,26,2014,6,26,-999.0,-999.0,-999.0,4022012.0,0.0,0.0,1.0,0.0
z775ahug5s,2,34.0,1,23,6,2,4,7,0,0,0,10,2014,6,26,2014,6,26,2014.0,12.0,29.0,10464182.0,0.0,0.0,1.0,0.0
q3vr53cs53,0,-999.0,0,0,6,2,4,0,2,6,17,7,2014,6,28,2014,6,28,-999.0,-999.0,-999.0,27812.0,0.0,0.0,1.0,0.0
ds8d1ud36u,0,-999.0,0,0,6,2,4,0,2,6,8,2,2014,6,26,2014,6,26,2014.0,6.0,27.0,2787894.0,0.0,0.0,1.0,0.0
14tzgdgyd1,0,58.0,0,0,6,2,4,7,2,6,22,11,2014,6,26,2014,6,26,2014.0,6.0,29.0,86585.0,0.0,0.0,1.0,0.0
bbv8wv6p28,0,-999.0,0,0,6,6,8,3,2,3,43,10,2014,6,25,2014,6,25,2015.0,2.0,2.0,1497712.0,0.0,0.0,1.0,0.0
kh9qerul3g,2,42.0,1,0,6,5,8,3,2,3,43,7,2014,6,26,2014,6,26,-999.0,-999.0,-999.0,687924.0,0.0,0.0,1.0,0.0
p9mrp2ovr9,0,-999.0,0,0,6,2,4,7,2,6,8,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,2824406.0,0.0,0.0,1.0,0.0
pvxikitycz,2,53.0,0,0,6,2,4,7,2,3,17,10,2014,6,28,2014,6,28,2014.0,7.0,2.0,7511193.0,0.0,0.0,1.0,0.0
9nd4gumuxo,0,-999.0,0,0,6,2,4,4,2,3,8,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,202378.0,0.0,0.0,1.0,0.0
q3f0bzoqbk,1,-999.0,0,0,6,7,8,0,2,6,8,7,2014,6,27,2014,6,27,-999.0,-999.0,-999.0,272914.0,0.0,0.0,1.0,0.0
qszwvl6x1i,2,24.0,1,25,6,2,4,7,3,8,30,7,2014,6,27,2014,6,27,-999.0,-999.0,-999.0,1007191.0,0.0,0.0,1.0,0.0
uucl21983g,1,22.0,1,0,6,2,4,7,2,3,43,4,2014,6,29,2014,6,29,2014.0,7.0,2.0,426344.0,0.0,0.0,1.0,0.0
sjan9f7h08,0,-999.0,0,0,6,5,8,3,2,3,43,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,21994.0,0.0,0.0,1.0,0.0
lqa8lf5fcs,0,-999.0,0,0,6,2,4,7,2,6,8,10,2014,6,29,2014,6,29,2014.0,7.0,1.0,694659.0,0.0,0.0,1.0,0.0
1z6590vsaf,0,-999.0,0,0,6,2,4,0,2,3,8,10,2014,6,28,2014,6,28,2014.0,7.0,2.0,521334.0,0.0,0.0,1.0,0.0
bk9gudg9sk,0,-999.0,0,0,6,2,4,0,2,8,30,7,2014,6,27,2014,6,27,-999.0,-999.0,-999.0,1317802.0,0.0,0.0,1.0,0.0
d60wtjvcnm,0,45.0,0,23,6,2,4,7,0,0,0,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,3295113.0,0.0,0.0,1.0,0.0
vaq1uzxfwo,2,24.0,1,25,6,2,4,0,3,3,8,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,209497.0,0.0,0.0,1.0,0.0
qrq01bcybr,0,-999.0,0,0,6,2,4,7,2,6,22,6,2014,6,26,2014,6,26,2014.0,6.0,26.0,1913631.0,0.0,0.0,1.0,0.0
fxc9nuh1x1,1,27.0,1,25,6,2,4,0,3,8,30,7,2014,6,26,2014,6,26,-999.0,-999.0,-999.0,4350732.0,0.0,0.0,1.0,0.0
0es86pgau1,2,26.0,1,0,6,2,4,7,2,6,8,10,2014,6,28,2014,6,28,2015.0,1.0,18.0,866065.0,0.0,0.0,1.0,0.0
wmvt6mdp0z,0,-999.0,0,0,6,5,8,3,2,3,43,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,192325.0,0.0,0.0,1.0,0.0
v83pdk3ptm,1,34.0,1,0,6,2,4,0,1,8,30,7,2014,6,28,2014,6,28,-999.0,-999.0,-999.0,2755782.0,0.0,0.0,1.0,0.0
whr6lvpuc1,2,28.0,1,0,6,2,4,7,2,3,43,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,4627.0,0.0,0.0,1.0,0.0
6bd1v4gicd,2,18.0,0,0,6,2,4,7,2,3,17,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,88930.0,0.0,0.0,1.0,0.0
at9pzl3e5r,2,27.0,0,0,6,2,4,7,2,3,43,7,2014,6,28,2014,6,28,-999.0,-999.0,-999.0,1497262.0,0.0,0.0,1.0,0.0
q4m2kfknxo,0,-999.0,0,0,6,5,8,3,2,3,8,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,9212488.0,0.0,0.0,1.0,0.0
80mzot6i6a,2,35.0,0,0,6,5,8,3,2,3,43,10,2014,6,28,2014,6,28,2014.0,6.0,28.0,3035553.0,0.0,0.0,1.0,0.0
7f0ow6umfc,2,29.0,1,0,3,7,6,3,2,3,8,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,908176.0,0.0,0.0,1.0,0.0
kggtxy1f2w,0,34.0,0,0,6,2,4,7,2,8,0,7,2014,6,28,2014,6,28,-999.0,-999.0,-999.0,229510.0,0.0,0.0,1.0,0.0
jxksjs875y,1,26.0,1,0,6,5,8,3,2,3,43,1,2014,6,28,2014,6,28,2014.0,7.0,2.0,12454902.0,0.0,0.0,1.0,0.0
qjc1defric,2,32.0,0,0,6,2,4,7,2,6,8,10,2014,6,25,2014,6,25,2014.0,11.0,9.0,2957745.0,0.0,0.0,1.0,0.0
1z8obyrmli,0,-999.0,0,0,6,2,4,7,2,3,8,7,2014,6,26,2014,6,26,-999.0,-999.0,-999.0,1864838.0,0.0,0.0,1.0,0.0
jlso477w1d,0,-999.0,0,25,6,2,4,0,3,8,30,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,681532.0,0.0,0.0,1.0,0.0
xhptey03ev,0,42.0,0,0,6,5,8,3,2,6,17,10,2014,6,29,2014,6,29,2014.0,6.0,29.0,1362536.0,0.0,0.0,1.0,0.0
znr4nniox8,0,29.0,0,0,6,5,8,3,2,3,8,10,2014,6,27,2014,6,27,2014.0,6.0,27.0,1123164.0,0.0,0.0,1.0,0.0
ung6o234x4,0,-999.0,0,0,6,2,4,0,1,8,30,7,2014,6,26,2014,6,26,-999.0,-999.0,-999.0,115074.0,0.0,0.0,1.0,0.0
f8p9qzgm2k,1,30.0,0,0,6,2,4,7,2,6,8,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,1132667.0,0.0,0.0,1.0,0.0
xfkpafzz0o,0,-999.0,0,0,6,2,4,7,2,3,43,7,2014,6,26,2014,6,26,-999.0,-999.0,-999.0,128490.0,0.0,0.0,1.0,0.0
cspcd63pll,0,-999.0,0,0,6,2,4,0,2,3,8,7,2014,6,26,2014,6,26,-999.0,-999.0,-999.0,1523911.0,0.0,0.0,1.0,0.0
z61ch9ubng,1,24.0,0,0,6,5,8,0,2,3,43,7,2014,6,28,2014,6,28,-999.0,-999.0,-999.0,2349692.0,0.0,0.0,1.0,0.0
2hnd8lakdx,0,-999.0,0,25,6,2,4,7,3,8,0,10,2014,6,29,2014,6,29,2014.0,7.0,4.0,274511.0,0.0,0.0,1.0,0.0
7f0ow6umfc,2,29.0,1,0,3,7,6,3,2,3,8,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,908176.0,0.0,0.0,1.0,0.0
hzsxdmrx5v,0,-999.0,0,25,6,2,4,7,3,8,0,7,2014,6,28,2014,6,28,-999.0,-999.0,-999.0,1211261.0,0.0,0.0,1.0,0.0
ozut591wns,0,-999.0,0,0,6,6,8,3,2,1,22,7,2014,6,28,2014,6,28,-999.0,-999.0,-999.0,328717.0,0.0,0.0,1.0,0.0
m0mchb8oy9,2,56.0,0,0,6,5,8,0,2,3,17,10,2014,6,25,2014,6,25,2014.0,6.0,27.0,1989198.0,0.0,0.0,1.0,0.0
vmomr0tu06,0,-999.0,0,0,6,5,8,3,2,6,22,10,2014,6,27,2014,6,27,2014.0,6.0,27.0,2511872.0,0.0,0.0,1.0,0.0
ay0aci8awh,1,30.0,1,0,6,2,4,7,2,3,43,7,2014,6,26,2014,6,26,-999.0,-999.0,-999.0,134206.0,0.0,0.0,1.0,0.0
s4zx5nr25h,2,29.0,1,0,6,2,4,0,2,3,17,10,2014,6,25,2014,6,25,2014.0,7.0,2.0,243804.0,0.0,0.0,1.0,0.0
i5mzbnf5ld,1,22.0,1,0,6,2,4,7,1,4,0,3,2014,6,28,2014,6,28,2014.0,7.0,1.0,1667787.0,0.0,0.0,1.0,0.0
kyv8pf7fom,2,29.0,0,0,9,2,4,7,2,3,8,10,2014,6,28,2014,6,28,2014.0,8.0,2.0,1365384.0,0.0,0.0,1.0,0.0
ulh0m00cdb,2,45.0,1,0,6,2,4,7,2,3,17,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,221083.0,0.0,0.0,1.0,0.0
22oveuzsek,0,-999.0,0,0,6,7,16,0,2,3,43,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,276281.0,0.0,0.0,1.0,0.0
025sv1949e,1,1926.0,0,0,6,2,4,7,2,6,17,10,2014,6,27,2014,6,27,2014.0,7.0,11.0,455462.0,0.0,0.0,1.0,0.0
wst31wx05q,1,27.0,1,0,6,2,4,7,2,6,17,10,2014,6,26,2014,6,26,2014.0,6.0,26.0,522201.0,0.0,0.0,1.0,0.0
v1mvtpxh7i,1,26.0,1,0,6,2,4,7,2,6,8,10,2014,6,27,2014,6,27,2015.0,2.0,3.0,1426560.0,0.0,0.0,1.0,0.0
2uwhe4jlhw,0,-999.0,0,25,6,2,4,7,3,7,0,7,2014,6,27,2014,6,27,-999.0,-999.0,-999.0,1769601.0,0.0,0.0,1.0,0.0
e4vnd2dj91,0,-999.0,0,0,6,2,4,4,2,3,17,11,2014,6,25,2014,6,25,2014.0,6.0,25.0,999004.0,0.0,0.0,1.0,0.0
f9h6nd201l,1,25.0,1,25,6,2,4,7,3,8,0,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,467334.0,0.0,0.0,1.0,0.0
1h2v348ado,1,31.0,0,0,6,2,4,3,2,3,17,5,2014,6,28,2014,6,28,2014.0,8.0,3.0,31993.0,0.0,0.0,1.0,0.0
2qgi976rfa,0,-999.0,0,0,3,2,4,7,1,8,30,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,174689.0,0.0,0.0,1.0,0.0
zjh6g9t0xp,0,-999.0,0,0,6,2,4,0,2,7,30,7,2014,6,28,2014,6,28,-999.0,-999.0,-999.0,243084.0,0.0,0.0,1.0,0.0
f5tibl6vme,2,29.0,1,25,6,2,4,7,3,8,0,7,2014,6,29,2014,6,29,-999.0,-999.0,-999.0,153771.0,0.0,0.0,1.0,0.0
1tpkx449nd,0,-999.0,0,0,6,2,4,7,1,6,8,7,2014,6,26,2014,6,26,-999.0,-999.0,-999.0,1796650.0,0.0,0.0,1.0,0.0
mw8qjs1mjj,1,73.0,0,0,6,5,8,3,2,3,43,10,2014,6,27,2014,6,27,2014.0,10.0,8.0,3160800.0,0.0,0.0,1.0,0.0
8cwa2fjwc9,2,31.0,1,0,6,2,4,3,2,3,43,7,2014,6,26,2014,6,26,-999.0,-999.0,-999.0,962555.0,0.0,0.0,1.0,0.0
xduwa2fkcs,0,-999.0,0,25,6,2,4,7,3,8,0,7,2014,6,25,2014,6,25,-999.0,-999.0,-999.0,87619.0,0.0,0.0,1.0,0.0
ayy3v4cnkq,0,-999.0,0,0,6,6,8,3,2,6,8,7,2014,6,27,2014,6,27,-999.0,-999.0,-999.0,238478.0,0.0,0.0,1.0,0.0
p9kvae0pcv,2,31.0,0,25,6,2,4,7,3,8,0,11,2014,6,28,2014,6,28,2014.0,6.0,28.0,3176541.0,0.0,0.0,1.0,0.0
940arf686n,2,31.0,1,25,6,2,4,7,3,8,0,7,2014,6,28,2014,6,28,-999.0,-999.0,-999.0,1244995.0,0.0,0.0,1.0,0.0
